"album_id","album_name","original_artist","action","distinct_artists","total_tracks","top1_artist","top1_tracks","top2_artist","top2_tracks","top3_artist","top3_tracks","notes"
53,"Greatest Hits","Aerosmith","SPLIT_PER_ARTIST",48,283,"Aerosmith",35,"Tom Petty and The Heartbreakers",25,"Louis Armstrong",25,"3 clusters, name collision"
8754,"Th'is Jazz -The Best of Jazz","Bud Powell","KEEP_AS_VA",38,39,"Dave Brubeck & Paul Desmond",2,"Nat King Cole",1,"Billie Holiday",1,"no clusters, comp-shape/name"
3341,"The Time-Life Treasury of Christmas","Gene Autry","KEEP_AS_VA",30,40,"Perry Como",5,"Roger Whittaker",3,"Nat King Cole",2,"2 clusters but comp-named - preserving group"
4909,"Baby Driver (Music from the Motion Picture)","Detroit Emeralds","KEEP_AS_VA",23,23,"The Beach Boys",1,"Simon & Garfunkel",1,"Queen",1,"no clusters, comp-shape/name"
1034,"Once Upon a Time in Hollywood Original Motion Picture Soundtrack","The Village Callers","KEEP_AS_VA",22,28,"Paul Revere & The Raiders",2,"Robert Corff",2,"Neil Diamond",2,"no clusters, comp-shape/name"
8400,"Music of Mad Men","Beverly Kenney","KEEP_AS_VA",19,19,"Rosemary Clooney",1,"Beverly Kenney",1,"Toni Harper",1,"no clusters, comp-shape/name"
4111,"The Vietnam War - A Film By Ken Burns & Lynn Novick (The Soundtrack)","The Rolling Stones","KEEP_AS_VA",19,19,"The Byrds",1,"Jimi Hendrix",1,"Ray Charles",1,"no clusters, comp-shape/name"
2815,"...Featuring Norah Jones","M. Ward","COLLAPSE_TO_PRIMARY",18,30,"Norah Jones",13,"Ray Charles",1,"Talib Kweli",1,"single cluster (Norah Jones: 13)"
10198,"O Brother, Where Art Thou? (10th Anniversary Deluxe Edition)","Harry McClintock","KEEP_AS_VA",16,18,"John Hartford",2,"The Soggy Bottom Boys",2,"Harry McClintock",1,"no clusters, comp-shape/name"
388,"Jackie Brown: Music From The Miramax Motion Picture","Johnny Cash","KEEP_AS_VA",16,17,"robert de niro/samuel l. jackson",2,"Johnny Cash",1,"Minnie Riperton",1,"no clusters, comp-shape/name"
1051,"Music From The Motion Picture Pulp Fiction","Brothers Johnson","KEEP_AS_VA",16,16,"Brothers Johnson",1,"Chuck Berry",1,"The Marketts",1,"no clusters, comp-shape/name"
2979,"Dazed And Confused Soundtrack","The Edgar Winter Group","KEEP_AS_VA",15,19,"ZZ Top",2,"Black Oak Arkansas",2,"Foghat",2,"no clusters, comp-shape/name"
1052,"Quentin Tarantino’s Django Unchained Original Motion Picture Soundtrack","Jim Croce","KEEP_AS_VA",14,19,"Ennio Morricone",3,"Luis Bacalov",3,"Samuel L. Jackson",2,"2 clusters but comp-named - preserving group"
1902,"Birds of Prey: The Album","Sofi Tukker","KEEP_AS_VA",14,14,"Sofi Tukker",1,"K.Flay",1,"Jucee Froot",1,"no clusters, comp-shape/name"
743,"Juno: Music From The Motion Picture","Belle and Sebastian","COLLAPSE_TO_PRIMARY",13,18,"Kimya Dawson",5,"Antsy Pants",2,"The Kinks",1,"single cluster (Kimya Dawson: 5)"
8975,"I Am The Resurrection: A Tribute To John Fahey","Sufjan Stevens","KEEP_AS_VA",13,13,"M. Ward",1,"Sufjan Stevens",1,"Devendra Banhart",1,"no clusters, comp-shape/name"
4368,"I, Tonya (Original Motion Picture Soundtrack)","Peter Nashel","COLLAPSE_TO_PRIMARY",12,14,"Peter Nashel",3,"Fleetwood Mac",1,"Supertramp",1,"single cluster (Peter Nashel: 3)"
1587,"Ratatat Remixes Mixtape, Volume 1","Raekwon","KEEP_AS_VA",12,14,"Raekwon",2,"Missy Elliott",2,"JAY-Z",1,"no clusters, comp-shape/name"
2871,"Quentin Tarantino's Once Upon a Time in Hollywood Original Motion Picture Soundtrack","Bristol-Myers","KEEP_AS_VA",12,13,"The Box Tops",2,"Paul Revere & The Raiders",1,"José Feliciano",1,"no clusters, comp-shape/name"
3177,"Mad Men (Music from the Original TV Series), Vol. 2","Jim Jacobsen","KEEP_AS_VA",12,12,"The Decemberists",1,"Perry Como",1,"Peter, Paul & Mary",1,"no clusters, comp-shape/name"
106,"McCartney III Imagined","Paul McCartney & Blood Orange","COLLAPSE_TO_PRIMARY",11,18,"Paul McCartney",8,"Paul McCartney & Blood Orange",1,"Paul McCartney & Dominic Fike",1,"single cluster (Paul McCartney: 8)"
3008,"Quentin Tarantino's Inglourious Basterds Motion Picture Soundtrack","Lalo Schifrin","COLLAPSE_TO_PRIMARY",11,14,"Ennio Morricone",4,"David Bowie",1,"Billy Preston",1,"single cluster (Ennio Morricone: 4)"
3189,"Mad Men (Music from the Original TV Series), Vol. 1","RJD2","COLLAPSE_TO_PRIMARY",11,13,"David Carbonara",3,"Ella Fitzgerald",1,"Julie London",1,"single cluster (David Carbonara: 3)"
2466,"Gold","The Mamas & the Papas","SPLIT_PER_ARTIST",10,38,"Etta James",24,"Chuck Berry",5,"Eric B. & Rakim",2,"2 clusters, name collision"
126,"COWBOY CARTER","Beyoncé","COLLAPSE_TO_PRIMARY",10,24,"Beyoncé",15,"Beyoncé & Rumi Carter",1,"Beyoncé, Tanner Adell, Brittney Spencer, Tiera Kennedy & Reyna Roberts",1,"single cluster (Beyoncé: 15)"
